,pageNo,word,number,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
0,১,অ,১,অ,বাংলা স্বরবর্ণের প্রথম বর্ণ,,ɔ,,,,
1,,অ,২,অ,সম্বোধনসূচক অব্যয়,সম্বোঅব,ɔ,,,"অ কপাল, অ মামুন",ব্যবহারিক বাংলা অভিধান
2,,অ,২,অ,উপসর্গ,উপ,ɔ,,ব্যা. [ব্যাকরণ],,
3,,অই,১,ওই,পদ্যে ছন্দের নির্দেশক স্বরবর্ণ,,ɔ͡i̯,স. [সংস্কৃত],,,
4,,অইরান,১,ওইরান্‌,বিরান,,ɔ͡i̯ran,ফা. [ফারসি],,,
5,,অইরান,১,,জনমানবহীন,,,,,,
6,,অইরান,২,,ধংসপ্রাপ্ত,,,,,,
7,,অউপকারী,১,অ-উপোকারী,"অপকারী, ",বি,ɔ͡u̯pokari,,,,
8,,অউপকারী,১,,যে উপকার করে না,,,,,,
9,,অঋণ,১,অরিন,ঋণাভাব,বি,ɔrin,স. [সংস্কৃত],অর্থ [অর্থনৈতিক],,
10,,অঋণী,১,অরিনি,ঋণামুক্ত,বিণ,ɔrini,স. [সংস্কৃত],অর্থ [অর্থনৈতিক],,
11,,অঋণী,১,,ঋণশুন্য,,,,,,
12,,অংগুস্তানা,১,ওঙ্গুস্‌তানা,অঙ্গুলাবরণ,বি,ɔŋgust̪ana,ফা. [ফারসি],গার্হ [গার্হস্ব্যবিদ্যা],,
13,,অংগুস্তানা,১,,সুচের খোঁচা থেকে রক্ষা পেতে ব্যবহৃত আচ্ছাদন,,,,,,
14,,অংগুস্তানা,২,,চামাটি,,,,,,
15,,অংগুস্তানা,৩,,মেজরাব,,,,,,
16,,অংগুষ্ঠানা,১,ওঙ্গুশঠানা,অঙ্গুলাবরণ,বি,ɔŋguʃtʰana,ফা. [ফারসি],গার্হ [গার্হস্ব্যবিদ্যা],,
17,,অংগুষ্ঠানা,১,,সুচের খোঁচা থেকে রক্ষা পেতে ব্যবহৃত আচ্ছাদন,,,,,,
18,,অংগুষ্ঠানা,২,,চামাটি,,,,,,
19,,অংগুষ্ঠানা,৩,,মেজরাব,,,,,,
20,,অংশ,১,অঙ্‌শো,ভাগ,,ɔŋʃo,স. [সংস্কৃত],,,
21,,অংশ,১,,খণ্ড,,,,,,
22,,অংশ,২,,অঞ্চল,,,,,,
23,,অংশ,২,,স্থান,,,,,,
24,,অংশ,৩,,মালিকানা,,,,,,
25,,অংশ,৩,,স্বত্ব,,,,,,
26,,অংশ,৪,,দেবতার ঔরস,,,,,,
27,,অংশ,৪,,দেবতার বীর্য,,,,,,
28,,অংশ,৫,,অবতার,,,,,,
29,,অংশ,৬,,বিষয়,,,,,,
30,,অংশ,৬,,পক্ষ,,,,,,
31,,অংশ,৭,,প্রত্যঙ্গ,,,,,,
32,,অংশ,৮,,বৃত্ত-পরিধির ৩৬০ ভাগের ১ ভাগ,,,,,,
33,,অংশ,৯,,রাশিচিক্রের ত্রিংশ বা দ্বাদশ ভাগের এক ভাগ,,,,,,
34,,অংশক,১,অঙ্শো‌ক,জ্ঞাতি,বি,ɔŋʃok,স. [সংস্কৃত],,,
35,,অংশক,২,,দিন,,,,,,
36,,অংশগ্রাহী,১,অঙ্শো‌গ্রাহি,অংশীদার,বিণ,ɔŋʃograhi,স. [সংস্কৃত],,,
37,,অংশগ্রাহী,১,,শরিক,,,,,,
38,,অংশত,১,অঙশোতো,অংশক্রমে,ক্রিবিন,,,,,
39,,অংশত,১,,কিয়দংশে,,,,,,
40,,অংশত,১,,আংশিকভাবে,,,,,,
41,,অংশন,১,অঙ্‌শোন,বণ্টন,বি,ɔŋʃon,স. [সংস্কৃত],,,
42,,অংশন,১,,বিভাগকরণ,,,,,,
43,,অংশনীয়,১,অঙ্‌শোনীয়,বিভাজ্য,বিণ,ɔŋʃoniʲo,স. [সংস্কৃত],,,
44,,অংশনীয়,১,,ভাগের উপযুক্ত,,,,,,
45,,অংশভাক,১,অঙ্‌শোভাক,অংশীদার,বিণ,ɔŋʃobʱak,স. [সংস্কৃত],,,
46,,অংশভাক,১,,উত্তরাধিকারী,,,,,,
47,,অংশভাক,২,,অংশ চায় এমন,,,,,,
48,,অংশভাগী,১,অঙ্‌শোভাগি,অংশ পাওয়ার যোগ্য,বিণ,ɔŋʃobʱagi,স. [সংস্কৃত],,,
49,,অংশভাগী,১,,অংশীদার,,,,,,
50,,অংশমান,১,অঙ্‌শোমান,ভাগ-বাটোয়ারা হচ্ছে এমন,বিণ,ɔŋʃoman,স. [সংস্কৃত],,,
51,,অংশল,১,অঙ্‌শোল,বলবান,বিণ,ɔŋʃol,স. [সংস্কৃত],,,
52,,অংশল,১,,বলশালী,,,,,,
53,,অংশহর,১,অঙ্‌শোহর,অংশলোপ,,ɔŋʃohor,,,,
54,,অংশহর,১,,অপহরণ করে এমন,,,,,,
55,,অংশহর,২,,অংশগ্রহণকারী,,,,,,
56,,অংশহারী,১,অঙ্‌শোহর,অংশলোপ,বিণ,ɔŋʃohari,স. [সংস্কৃত],,,
57,,অংশহারী,১,,অপহরণ করে এমন,,,,,,
58,,অংশহারী,২,,অংশগ্রহণকারী,,,,,,
59,,অংশাংশ,১,অঙ্‌শাঙ্‌শো,১ ভাগের ভাগ,বি,ɔŋʃaŋʃo,স. [সংস্কৃত],,,
60,,অংশাংশ,২,,ভিন্ন ভিন্ন ভাগ,,,,,,
61,,অংশাংশি,১,অঙ্‌শাঙ্‌শি,পরস্পর ভাগ-বাটোয়ারা,,ɔŋʃaŋʃi,স. [সংস্কৃত],,,
62,,অংশাংশি,১,,ভাগাভাগি,,,,,,
63,,অংশা-অংশি,১,অঙ্‌শা-অঙ্‌শি,পরস্পর ভাগ-বাটোয়ারা,বি,ɔŋʃa-ɔŋʃi,স. [সংস্কৃত],,,
64,,অংশা-অংশি,১,,ভাগাভাগি,,,,,,
65,,অংশানো,১,অঙ্‌শানো,উত্তরাধিকার সূত্রে প্রাপ্য হওয়া,ক্রি,ɔŋʃano,স. [সংস্কৃত],,,
66,,অংশানো,১,,অংশীদার সূত্রে প্রাপ্য হওয়া,,,,,,
67,,অংশানো,১,,বর্তানো,,,,,,
68,,অংশিত,১,অঙ্‌শিতো,ভিন্ন ভিন্ন ভাগে বিভক্ত,বিণ,ɔŋʃit̪o,স. [সংস্কৃত],,,
69,,অংশিত,১,,বিভাজিত,,,,,,
70,২,অংশী ,১,ওঙ্‌শি,অংশবিশিষ্ট ,বিণ,,স. [সংস্কৃত],,,
71,,অংশী ,২,,অংশ আছে এমন ,,,,,,
72,,অংশী ,২,,ভাগ ,,,,,,
73,,অংশীদার ,১,ওঙ্‌শিদার,সম্পত্তি বা কারবারের অংশ আছে যার  ,বি,,,,,
74,,অংশীদারি,১ ,ওঙ্‌শিদাারি,অংশীদারের কাজ,বি,,,,,
75,,অংশীদারি,,,ভাব বা অবস্থা ,,,,,,
76,,অংশু ,১,ওঙ্‌শু,কিরণ ,বি,,স. [সংস্কৃত],,,
77,,অংশু ,,,রশ্মি,,,,,,
78,,অংশু ,২,,তন্তু ,,,,,,
79,,অংশু ,২,,আঁশ,,,,,,
80,,অংশুক ,১,ওঙ্‌শুক,সূক্ষ্ম বস্ত্র ,বি,,স. [সংস্কৃত],,,
81,,অংশুপট ,১,ওঙ্‌শুপট,গরদ তসর মটকা প্রভৃতি রেশমি সুতার কাপড় ,বি,,স. [সংস্কৃত],,,
82,,অংশুুময়ী ,১ ,ওঙ্‌শুমোয়ি,উজ্জ্বলা,বিণ,,স. [সংস্কৃত],,,
83,,অংশুুময়ী ,,,প্রভাবিশিষ্টা  ,,,,,,
84,, অংশুময় ,১ ,ওঙ্‌শুময়,উজ্জ্বল ,বিণ,,স. [সংস্কৃত],,,
85,, অংশুময় ,,,প্রতিভাবিশিষ্ট ,,,,,,
86,,অংশুমালী ,১,ওঙ্‌শুমালি,সূর্য ,বি,,স. [সংস্কৃত],,,
87,,অংশুমালী ,২,,প্রদীপ্ত,,,,,,
88,,অংশুমালী ,২,,তেজময় ,,,,,,
89,,অংশুল ,১,,কিরণবিশিষ্ট ,বিণ,,স. [সংস্কৃত],,,
90,,অংশুশিরাল দেহ ,১,,যে দেহের শিরাসমূল একই কেন্দ্র থেকে সর্বত্র ব্যাপ্ত হয়,বি,,স. [সংস্কৃত],,,
91,, অংশ্যমান ,১,,ভাগ করা হয়েছে এমন ,বি,,স. [সংস্কৃত],,,
92,,অংস ,১,,স্কন্ধ ,বি,,স. [সংস্কৃত],,,
93,,অংস ,১ ,,কাঁধ ,,,,,,
94,,অংসকূট ,১,,ষাঁড়ের কাঁধের মাংসপিণ্ড ,বি,,স. [সংস্কৃত],,,
95,,অংসকূট ,১,,ককুদ ,,,,,,
96,,অংসত্র ,১,, স্কন্ধরক্ষক ধর্ম বা আবরণী বিশেষ ,বি,,স. [সংস্কৃত],,,
97,,অংসফলক  ,১,,কাঁধের ত্রিকোণাকার অস্থিবিশেষ ,বি,,স. [সংস্কৃত],,,
98,, অংসফলকাস্থি ,১,,কাঁধের ত্রিকোণাকার অস্থিবিশেষ ,বি,,স. [সংস্কৃত],,,
99,,অংসভার ,১,,কাঁধের বোঝা,বি,,স. [সংস্কৃত],,,
100,,অংসভার ,২,,দায়িত্ব ,,,,,,
101,,অংসল ,১,,পুষ্টদেহ ,বিণ,,স. [সংস্কৃত],,,
102,,অংসল ,১,,চওড়া কাঁধ বিশিষ্ট,,,,,,
103,,অংসল ,১,,শক্তিশালী ,,,,,,
104,,অংসলা ,১,,দায়িিত্ব,বিণ,,স. [সংস্কৃত],,,
105,,অংসলা ,১,,পুষ্টদেহ ,,,,,,
106,,অংসলা ,১,,চওড়া কাঁধ বিশিষ্ট,,,,,,
107,,অংহ ,১,,পাপ,বি,,স. [সংস্কৃত],,,
108,,অংহ ,১,,ধর্ম ,,,,,,
109,,অংহ ,২,,অধঃপতন ,,,,,,
110,,অঁকোল  ,১,,আঁকড় নামক গাছ ,বি,,স. [সংস্কৃত],,,
111,,অক ,১,,পাপ ,বি,,স. [সংস্কৃত],,,
112,,অক ,২,,দুঃখ ,,,,,,
113,,অক ,২,,অশান্তি ,,,,,,
114,,অক ,১,,রূপকথার বৃহৎ পাখিবিশেষ ,বি,,ফা. [ফারসি],,,
115,,অকখর ,১,,অক্ষর,বি,,স. [সংস্কৃত],,,
116,,অকখর ,১,, বর্ণ ,,,,,,
117,,অকচ ,১,,কেশবিহীন ,বিণ,,স. [সংস্কৃত],,,
118,,অকচ ,১,,টেকো ,,,,,,
119,,অকট-বিকট ,১,, আঁকুবাঁকু ,বি,,স. [সংস্কৃত],,,
120,,অকট-বিকট ,১,,ছটফট ,,,,,,
121,,অকটু ,১,, কটুতাহীন ,বি,,স. [সংস্কৃত],,,
122,,অকটু ,১,,মধুর ,,,,,,
123,,অকঠোর ,১,, অকঠিন,বিণ,,স. [সংস্কৃত],,,
124,,অকঠোর ,১,, অকর্কশ,,,,,,
125,,অকঠোর ,১,, সদয়,,,,,,
126,,অকঠোর ,২,, সহজ ,,,,,,
127,,অকঠোর ,২,, সরল ,,,,,,
128,,অকণ্টক ,১,, কাঁটা নেই এমন ,বিণ,,স. [সংস্কৃত],,,
129,,অকণ্টক ,১,, কাঁটাশূন্য,,,,,,
130,,অকণ্টক ,১,, নিষ্কণ্টক ,,,,,,
131,,অকণ্টক ,২,, বাধাহীন,,,,,,
132,,অকণ্টক ,২,,উপদ্রবহীন ,,,,,,
133,,অকণ্টক ,২,,শত্রুহীন ,,,,,,
134,, অকণ্টকে  ,১,, নিরাপদে ,ক্রিবিন,,স. [সংস্কৃত],,,
135,, অকণ্টকে  ,১,,নির্বিঘ্নে ,,,,,,
136,, অকণ্টকে  ,১,,বিনা বাধায় ,,,,,,
137,,অকথন ,১,, এক কথায় প্রকাশ করার অযোগ্য ,বিণ,,স. [সংস্কৃত],,,
138,,অকথন ,১,,অবক্তব্য ,,,,,,
139,,অকথন ,২,, কুকথা ,বি,,স. [সংস্কৃত],,,
140,,অকথন ,২,,অনুচিত কথা ,,,,,,
141,, অকথা ,১,, অশ্লীল বা অনুচিত কথা ,বি,,স. [সংস্কৃত],,,
142,, অকথিত,১,, অনুক্ত বা অনুচ্চারিত ,বিণ,,স. [সংস্কৃত],,,
143,, অকথিত,২,,বলার অযোগ্য ,,,,,,
144,, অকথ্য ,১,,অশ্লীল বা অনুচিত কথা ,বিণ,,স. [সংস্কৃত],,,
145,, অকথ্য ,১,,বলার অযোগ্য ,,,,,,
146,, অকথ্য ,২,,কথায় প্রকাশ করা যায় না এমন ,,,,,,
147,, অকথন ,১,,বলার মত নয় এমন কথা ,বি,,স. [সংস্কৃত],,,
148,, অকথন ,১,,গালি ,,,,,,
149,, অকথন ,২,,অবর্ণনীয় ,,,,,,
150,, অকথন ,২,,অনির্বচনীয় ,,,,,,
151,, অকনিষ্ঠ,১,, কনিষ্ঠ নেই এমন ,বিণ,,স. [সংস্কৃত],,,
152,,  অকনিষ্ঠ ,১,,পাপসক্ত,বিবিণ,,স. [সংস্কৃত],,,
153,,  অকনিষ্ঠ ,,,পাপী ,,,,,,
154,, অকপট ,১,,সরল,বিণ,,,,,
155,, অকপট ,১,,কপটতাহীন,,,,,,
156,, অকপটে ,১,,সরলভাবে,ক্রিবিন,,,,,
157,, অকপটে ,১,,গোপন না রেখে ,,,,,,
158,,অকপটচিত্ত,১,, সরলমনা,বিণ,,,,,
159,,অকপটচিত্ত,১,, অমায়িক স্বভাবসম্পন্ন ,,,,,,
160,,অকবজ ,১,,অনায়ত্ত,বিণ,,আ. [আরবি],,,
161,,অকবজ ,১,,অনধিকৃত ,,,,,,
162,, অকবি ,১,,কবি প্রতিভাহীন বা কবি নামের অযোগ্য ,বিবিণ,,স. [সংস্কৃত],,,
163,, অকমনীয় ,১,, অবাঞ্ছনীয়,বিণ,,স. [সংস্কৃত],,,
164,, অকমনীয় ,১,,কাম্য নয় এমন ,,,,,,
165,, অকমনীয় ,২,, অসুন্দর,,,,,,
166,, অকমনীয় ,২,,কুৎসিত ,,,,,,
167,,"অকম্প, অকম্পন, অকম্পিত, অকম্প্র",১,,স্থির,বিণ,,স. [সংস্কৃত],,,
168,,"অকম্প, অকম্পন, অকম্পিত, অকম্প্র",১,,কম্পনশূন্য,,,,,,
169,,"অকম্প, অকম্পন, অকম্পিত, অকম্প্র",১,,অবিচলিত,,,,,,
170,, অকম্পনীয় ,১,,কম্পনের অযোগ্য,বিণ,,স. [সংস্কৃত],,,
171,, অকম্পনীয় ,১,,কম্পনের মতো নয় এমন ,,,,,,
172,, অকর ,১,,নিষ্কর ,বিণ,,স. [সংস্কৃত],,,
173,, অকর ,১,,শুষ্কের অযোগ্য ,,,,,,
174,, অকর ,২,,হস্তহীন ,,,,,,
175,, অকর ,৩,,কিরণহীন ,,,,,,
176,,অকরণ ,১,,কর্মশূন্যতা,বি,,স. [সংস্কৃত],,,
177,,অকরণ ,১,,নিষ্ক্রিয়তা,,,,,,
178,,অকরণ ,২,,অবৈধ বা অন্যায় কাজ ,,,,,,
179,,অকরণী ,১,,যে রাশিকে ভাগ করলে ভাগশেষ থাকে না ,বি,,স. [সংস্কৃত],,,
180,,অকরণীয় ,১,,অকর্তব্য,বিণ,,স. [সংস্কৃত],,,
181,,অকরণীয় ,১,,করা উচিৎ নয় এমন ,,,,,,
182,,অকরণীয় ,২,,সম্পর্ক স্থাপনের অযোগ্য ,,,,,,
183,,অকরোটি ,১ ,,যে সকল প্রাণীর খুলির আংশিক বা সম্পূর্ণ নেই ,বি,,স. [সংস্কৃত],প্রাণি [প্রাণিবিজ্ঞান],,
184,,অকর্কশ ,১,,কোমন ,বিণ,,স. [সংস্কৃত],,,
185,,অকর্কশ ,১,,নরম ,,,,,,
186,,অকর্কশ ,২,,মসৃণ,,,,,,
187,,অকর্কশ ,২,,তেলতেলে,,,,,,
188,৩,অকর্ণ ,১,,কান নেই এমন ,বিবিণ,,স. [সংস্কৃত],,,
189,,অকর্ণ ,২ ,,বধির ,,,,,,
190,,অকর্ণ ,৩,,হালশূন্য ,,,,,,
191,,অকর্ণ ,৪,,সর্প ,বি,,স. [সংস্কৃত],প্রাণি [প্রাণিবিজ্ঞান],,
192,, অকর্তব্য ,১,,যা করা উচিৎ নয় এমন ,বিণ,,স. [সংস্কৃত],,,
193,, অকর্তব্য ,,,অনুচিত ,,,,,,
194,,অকর্তা ,১ ,,কর্তা নয় যে,বিবিণ,,স. [সংস্কৃত],,,
195,,অকর্তা ,২,,অপ্রধান ,,,,,,
196,,অকর্ম ,১ ,, কর্মের অভাব,বি,,স. [সংস্কৃত],,,
197,,অকর্ম ,১ ,,নিষ্ক্র্রিয়তা ,,,,,,
198,,অকর্ম ,২,,অপকর্ম ,,,,,,
199,,অকর্ম ,২,,খারাপ কাজ ,,,,,,
200,,অকর্মক ,১ ,,যে ক্রিয়াপদের কর্ম নেই ,বিণ,,স. [সংস্কৃত],,,
201,,অকর্মক ,২,,বেকার,,,,,,
202,,অকর্মক ,২,,কর্মশূন্য,,,,,,
203,,অকর্মকাণ্ড ,১ ,,অপকর্মের ঘটা ,বি,,স. [সংস্কৃত],,,
204,,অকর্মণ্য ,১ ,,কর্মক্ষম নয় এমন ,বিণ,,স. [সংস্কৃত],,,
205,,অকর্মণ্য ,১ ,,অপটু,,,,,,
206,,অকর্মণ্য ,২,,অকেজো ,,,,,,
207,,অকর্মণ্য ,২,,ব্যবহারের অযোগ্য ,,,,,,
208,,অকর্মা ,১ ,,কোনো কাজের নয় এমন ,বিণ,,স. [সংস্কৃত],,,
209,,অকর্মা ,২,,অলস ,,,,,,
210,,অকর্মা ,৩,,কুকর্মকারী,,,,,,
211,,অকর্মা ,৩,,অন্যায়কারী,,,,,,
212,,অকর্মিষ্ঠ ,১ ,,কুকর্মে রত ,বি,,,,,
213,,অকর্মিষ্ঠ ,২,,অকর্মণ্য,,,,,,
214,,অকল ,,,,,,,,,
215,,অলঙ্ক ,১,অকলোঙ্‌কো,কলঙ্কহীন ,বিণ,,স. [সংস্কৃত],,,
216,,অলঙ্ক ,১,,অপবাদহীন ,,,,,,
217,,অলঙ্ক ,১,,নির্দোষ ,,,,,,
218,,অলঙ্ক ,২,, দাগশূন্য ,,,,,,
219,,অলঙ্ক ,৩ ,,নির্মল,,,,,,
220,,অলঙ্ক ,৩ ,,পবিত্র ,,,,,,
221,,অলঙ্ক ,৩ ,,সুন্দর ,,,,,অকলঙ্ক হাস্যমুখে...ঘুমাইতে কার অঙ্কটিতে।,
222,,অকলঙ্কিত,১,অকলোঙ্‌কিতো,কলঙ্কী নয় এমন,বিণ,,স. [সংস্কৃত],,,
223,,অকলঙ্কিত,১,,সাধু,,,,,,
224,,অকলঙ্কিত,১,,নির্দোষ ,,,,,,
225,,অকলঙ্কী,১,অকলোঙ্কি,কলঙ্কী নয় এমন,বিণ,,স. [সংস্কৃত],,,
226,,অকলঙ্কী,১,,সাধু,,,,,,
227,,অকলঙ্কী,১,,নির্দোষ ,,,,,,
228,,অকলঙ্কিতা,১,,কলঙ্কী নয় এমন,,,,,,
229,,অকলঙ্কিতা,১,,সাধু,,,,,,
230,,অকলঙ্কিতা,১,,নির্দোষ ,,,,,,
231,,অকলঙ্কিনী,১,,,,,,,,
232,,অকলুষ,১,অকোলুশ,পাপ বা দোষের অভাব,বিণ,,স. [সংস্কৃত],,,
233,,অকলুষ,২,,নিষ্পাপ,,,,,,
234,,অকলুষ,২,,নির্দোষ,,,,,,
235,,অকলুষিত,,,,বিণ,,স. [সংস্কৃত],,,
236,,অকল্ক,১,অকল্‌কো,মলহীন,বিণ,,স. [সংস্কৃত],,,
237,,অকল্ক,১,,নির্মল,,,,,,
238,,অকল্ক,২,,নিষ্পাপ,,,,,,
239,,অকল্ক,৩,,নিরহঙ্কার,,,,,,
240,,অকল্কা,১,,জ্যোৎস্না,বি,,স. [সংস্কৃত],,এই নীল অকল্কায়।,
241,,অকল্পনা,১,অকল্‌পোনা,চিন্তার অভাব,বি,,স. [সংস্কৃত],,,
242,,অকল্পনা,২,,কুমতলব,,,,,,
243,,অকল্পনা,২,,খারাপ চিন্তা,,,,,,
244,,অকল্পিত ,১,অকোল্‌পিতো,মনগড়া বা কল্পিত নয় এমন,বিণ,,স. [সংস্কৃত],,,
245,,অকল্পিত ,১,,অকৃত্রিম,,,,,,
246,,অকল্পিত ,১,,প্রকৃত,,,,,,
247,,অকল্পিত ,১,,বাস্তব,,,,,,
248,,অকল্পিত ,২,,কল্পনা করা যায়নি এমন,,,,,,
249,,অকল্পনীয়,১,অকল্‌পোনিয়ো,কল্পনা করা যায় না এমন,বিণ,,স. [সংস্কৃত],,,
250,,অকল্মষ,১,অকল্‌মশ্‌,নিষ্পাপ,বিণ,,স. [সংস্কৃত],,,
251,,অকল্যাণ,১,"অকোল্‌লান, অকোল্যান",অমঙ্গল,বি,,স. [সংস্কৃত],,,
252,,অকল্যাণ,১,,অশুভ,,,,,,
253,,অকল্যাণ,২,,অমঙ্গলজনক,বিণ,,,,অকল্যান এই সুর।,
254,,অকল্যাণকর,১,,অমঙ্গলজনক,বিণ,,স. [সংস্কৃত],,,
255,,অকল্যাণকর,১,,অশুভকর,,,,,,
256,,অকল্যাণকর,১,,ক্ষতিকর,,,,,,
